1111.0,11
1112.0,3
1113.0,16
1114.0,7
1115.0,5
1123.0,4
1125.0,1
1133.0,21
1134.0,22
1135.0,17
1144.0,7
1145.0,3
1154.0,11
1155.0,9
1233.0,5
1234.0,8
1235.0,3
1244.0,1
1254.0,3
1255.0,4
1333.0,2
1334.0,23
1335.0,3
1344.0,63
1345.0,4
1354.0,22
1355.0,5
1444.0,7
1445.0,1
1455.0,10
1544.0,14
1545.0,4
1554.0,2
1555.0,3
2234.0,1
2334.0,3
2335.0,1
2344.0,3
2354.0,2
2544.0,1
2555.0,1
3334.0,21
3335.0,1
3344.0,121
3345.0,3
3354.0,47
3444.0,79
3445.0,1
3454.0,3
3455.0,6
3544.0,86
3545.0,1
3554.0,2
3555.0,1
4344.0,1
4444.0,1518
4445.0,483
4447.0,106
4448.0,25
4454.0,196
4455.0,489
4457.0,2
4458.0,4
4474.0,5
4477.0,69
4478.0,1
4544.0,255
4545.0,212
4547.0,7
4554.0,118
4555.0,611
4557.0,3
4777.0,6
5344.0,1
5345.0,1
5444.0,234
5445.0,172
5447.0,4
5448.0,5
5454.0,117
5455.0,514
5457.0,6
5458.0,5
5544.0,145
5545.0,201
5547.0,1
5548.0,2
5554.0,218
5555.0,2142
5557.0,3
5558.0,2
7477.0,7
7777.0,10
